title,review,review_date,travel_date,airline,rate
Worse Flying experience,"Worst experience at Dhaka airport. Delayed flight, no food provided. Extremely rude and aggressive staff. Not worth any offer lr discount flight.",Reviewed 2 weeks ago ,Date of travel: July 2020,Biman_Bangladesh_Airlines,1 of 5 bubbles
Good value for price and food was excellent.,"Good value for money. Somethimes you might consider the overall service based on the money you pay. Also, the staff was friendly.",Reviewed 3 weeks ago ,Date of travel: March 2021,Biman_Bangladesh_Airlines,5 of 5 bubbles
excellent,"Very good airlines ever i see. Good service food quality and served. I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world.","Reviewed April 27, 2021 ",Date of travel: March 2021,Biman_Bangladesh_Airlines,5 of 5 bubbles
Fantastic food and service ,"I naver used Biman Bangladesh and it was first time I tried and what can I say about biman, best airline in the world, I had sooo many bad feedback about biman and I think biman changed everything to do well and give fantastic service. I would definitely recommend people to use biman . I would say to Sylheti people please use biman Bangladesh so we get amazing service all the time.","Reviewed March 5, 2021 ",Date of travel: March 2021,Biman_Bangladesh_Airlines,5 of 5 bubbles
Rude flight supervisor at the airport desk,I have travelled from London to Dhaka direct flight due to COVID and it was my first time I have experienced Bangladesh biman and definitely my last time . While sending my luggage the staffs on the gate harassed me I felt because I had enough allowance and I only had a small bag hand where I hardy had anything so they could allow 2 kilo more in my luggage rather than asking for extra money (staffs are irrelevant ) and then making me open my luggage thousand times . Also the gate flight supervisor a lady at London Heathrow airport terminal 2 was very rude she didn’t even listen what I was gonna say instead she said just to save your time u have pay extra this and that like she didn’t even try to listen what I was trying to say . Very disappointing she had no manner how to behave and talk to passengers and she is a supervisor like what ... the cabin crew were well behaved but you can hardly find cabin crew during quiet time as they are always in their station but they were well behaved. Just didn’t like the gate staffs specially the lady supervisor of that wasn’t uk I would have slapped her for that behaviour like we pay for service and want to get that service we do not travel for free or with their fathers money . Also the food during the flight came very late for awhile I wanted to jump out of the plane because I was starving ... they need to give food on time . More Improvement needed and staffs need more training and definitely should not hire staffs who doesn’t know how to behave with passengers . I felt it because I am a tourism and hospitality employee at a fairmont hotel in London and I have trained air hostesses at from Saudi airlines do I know how passengers should be treated . Pleas give more training to customer service staffs at the airport thanks . For me ... never travelling from bd biman worst behaved at the luggage desk ... staffs are always gossiping ... poor service at the luggage desk... also the cabin crews are not very attentive they forgot to give me my food and they did not re check if all passengers got food I had to call someone to give me food ...,"Reviewed January 13, 2021 ",Date of travel: January 2021,Biman_Bangladesh_Airlines,1 of 5 bubbles
Very bad,Do not fly with this stupid airlines it’s too dirty inside and the sit service I will never fly agen,Reviewed 2 weeks ago ,Date of travel: June 2021,US_Bangla_Airlines,1 of 5 bubbles
Great customer service !,From the minute I stepped into the airport the staff assisted with my baggage and security scanning until I was handed my boarding pass to board the plane. Highly recommended.,"Reviewed September 22, 2020 ",Date of travel: September 2020,US_Bangla_Airlines,5 of 5 bubbles
Overall review of US Bangla Airlines,"The worst airlines, run by irresponsible, and stupid people. They have no sense of time and service. If you ask any assistance, whether they don't know they answer, they will give you even terrible suggestions which will make your life real hell and finally you will realize their suggestion was unnecessary. I had no other option that's why I needed to fly with them and I wish I never again fall in such situation. Their behave is such rude and inappropriate to let you think they are actually inhuman and monsters.","Reviewed June 27, 2020 ",Date of travel: June 2020,US_Bangla_Airlines,1 of 5 bubbles
Domestic flights in Bangladesh,"Flights that I find comfortable, strange, panic, and angry. The circumstances are mixed together. The plane is ready for boarding but there are still many passengers making phone or video calls, even though flight attendants have banned cellphones. And this might disrupt the aircraft's navigation system.","Reviewed March 16, 2020 ",Date of travel: March 2020,US_Bangla_Airlines,4 of 5 bubbles
Efficient service,Had travelled from Dhaka to Chittagong in US Bangla airlines. Initially I had some fear as only recently they had a crash in Nepal. What I observed is that their check in and boarding process was very fast and on time. Aircraft was clean and efficient staff. ,"Reviewed March 15, 2020 ",Date of travel: February 2020,US_Bangla_Airlines,4 of 5 bubbles
Officer,"I heard about this airline so I called them. Twice they hung up on me. I guess you're only allowed to ask one question. Well they just saved me from flying with an unprofessional company. So thanks. I will never fly this airline. I did not fly with them. However, they would not allow me to write a review without stating a flight.Just plan rude.",Reviewed 2 weeks ago ,Date of travel: June 2021,Regent_Airways,1 of 5 bubbles
Family trip,Flight size and type is better than any other domestic airlines of Bangladesh. Service is good. I will say professional. They don't have flight in all the domestic routes. But they seem to be the best in Bangladesh.Food may be improved.,"Reviewed March 17, 2020 ",Date of travel: March 2020,Regent_Airways,5 of 5 bubbles
"An unknown airline for me, but got superb experience","I did not know about this airline till the travel date and the ticket was arranged by my office. But I was pleasantly surprised by their services, the speed at which boarding was completed, luggages delivered or punctuality. The flight was actually coming from Muscat to Dhaka via Chattogram.Will surely recommend. Cheap fair and a Boeing 737. It was a good deal as well.","Reviewed February 27, 2020 ",Date of travel: February 2020,Regent_Airways,4 of 5 bubbles
Bus with wings - which is fine for a 30-min flight,"PROS: good flight schedule, comprehensive online booking interface, serve a snack on the flight no matter how short.CONS: Flights often leave 20+ min late, plane interiors are FILTHY.","Reviewed February 22, 2020 ",Date of travel: January 2020,Regent_Airways,3 of 5 bubbles
Average Air line to fly,"It ia an average airline to fly,recently they are not maintaining time.In flight entertainment is poor.Check in service is good","Reviewed January 18, 2020 ",Date of travel: January 2020,Regent_Airways,3 of 5 bubbles
VERY MUCH DISAPPOINTED!!,In this pandemic situation just eleventh hour you guys notifying that flight will be delayed 1 hour. BAS*****!! Toder mamar bari ai desh ta. Kuttar bacchar dhol.,"Reviewed November 9, 2020 ",Date of travel: November 2020,NOVOAIR,1 of 5 bubbles
