title,author,author_country,datePublished,content,verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
"""airline was very friendly""",Sohel Ahammed,Bangladesh,24th June 2021,This airline was very friendly as well as cost efficient. The staff of group service were friendly and their behaviour was fine. But there is no inflight entertainment on this airline.,✅ Trip Verified,Dash 8,Solo Leisure,Economy Class,Dhaka to Rajshahi,June 2021,4.0,4.0,5.0,5.0,yes,,,
"""an excellent and comfortable journey""",Md. Jahangir Alam,Bangladesh,18th June 2021, It was really an excellent and comfortable journey on Boeing 787 due to adding new modern aircrafts in their existing fleet. The behavior of both ground and cabin staff was so good but they need to give extra emphasis to the inflight entertainment. The flight was on time.,Not Verified,Boeing 787,Solo Leisure,Premium Economy,Dhaka to Dubai,January 2021,4.0,5.0,5.0,4.0,yes,4.0,3.0,
"""the service quality has been improved""",Md. Jahangir Alam,Bangladesh,18th June 2021, It is assumed from my last journey Dhaka to London on Biman Bangladesh Airlines that the service quality has been improved compared to before. The behavior of both ground and cabin staff was good. Catering service was very nice. The flight was also on time. Actually I enjoyed the journey.,Not Verified,Boeing 787,Family Leisure,Economy Class,Dhaka to London,February 2021,4.0,4.0,5.0,4.0,yes,4.0,3.0,
"""employees are very supportive and friendl""",Mizan Sinha,Bangladesh,18th June 2021, This is my last journey from Dhaka to London. Biman has upgraded their service than previous. Me and my family are highly pleased with their services from the counter to until the flight arrival at London. The employees are very supportive and friendly. The environment of the boarding gate is so nice and the seats are also very comfortable. The food was so delicious. There were no delays and no complaints about Biman.,Not Verified,Boeing 787-9,Family Leisure,Premium Economy,Dhaka to London,February 2021,5.0,5.0,5.0,5.0,yes,5.0,5.0,5.0
"""kind and friendly""",Abu Mohammad,United Kingdom,29th August 2020,"It was really brilliant to fly on Boeing 787. It has WiFi, food delicious but spicy. Crew are kind and friendly with my family. I will again fly on Biman Bangladesh",Not Verified,Boeing 787-9,Family Leisure,Economy Class,London to Dhaka,January 2020,5.0,5.0,5.0,5.0,yes,5.0,4.0,4.0
"""significantly improved recently""",Shakib Hossain,Bangladesh,26th February 2020," Biman Bangladesh have significantly improved recently with six new 787 aircraft in a year. The flights was smooth, ontime, and the people are good. the foods are tasty but spicy. for entertainment they need to improve.",✅ Trip Verified,Boeing 737-800,Solo Leisure,Economy Class,Chittagong to Dhaka,January 2020,4.0,4.0,4.0,5.0,yes,5.0,,
"""Good food, good seating""","8 reviews



Ziauddin Ahmed",Thailand,10th February 2020,"I flew Dhaka to Bangkok on 27 August 2019 with Biman Bangladesh Airlines. Good food, good seating and comparatively better ground services. Staff on board are just OK though. Ground staff should be more courteous. My last travel ticket price was high though.",✅ Trip Verified,Boeing 787,Solo Leisure,Economy Class,Dhaka to Bangkok,August 2019,5.0,3.0,2.0,3.0,yes,5.0,4.0,
"""they were completely disregarded and ignored""",HB Begum,United Kingdom,4th February 2020," Manchester to Sylhet. One of the worst experiences for my elderly parents. Both aged 80 plus. At the airport it all started. The lady at desk had a sour face on, not giving eye contact or listening, neither checking details properly. There were doctors letters, we had already liaised with the airline, I specifically described their medical needs and they had bracelets to show their claims, conditions etc. All she said was okay. The idea was to provide them with an aisle seat and to be near a toilet to avoid any accidents on the plane that would inconvenience other passengers. The flight was delayed, they were made to sit in the middle in cramped conditions, knee to knee seats causing my parents to suffer with breathing and other conditions. They tried to show the cabin crew the letters and expressed their struggle, but they were completely disregarded and ignored. There's others to consider too, but when it's been prior arranged. You would expect the cabin crews to follow the instructions. Appalling behaviour from Biman Bangladesh Airlines.",Not Verified,Boeing 707,Family Leisure,Economy Class,Manchester to Sylhet,February 2020,1.0,1.0,1.0,1.0,no,1.0,1.0,1.0
"""Worst customer service""",Francisco Xavier,Australia,25th January 2020," Have a flight canceled from Myanmar to Bangladesh, due to not enough people in the flight. No refund. Next flight available in 3 days. End up buying a flight from different airline. Then flight from Dhaka to Kuala Lumpur, delayed for 6 hours. Worst customer service in the airport. Worse aircrew. Avoid.",Not Verified,,Solo Leisure,Economy Class,Yangon to Dhaka,February 2019,,,1.0,1.0,no,,,
"""Good food, good seating""",Ziauddin Ahmed,Thailand,20th January 2020," Dhaka to Bangkok in August 2019. Good food, good seating and comparatively better ground services. Staffs on board are just OK though. Ground staff should be more courteous. My last travel ticket price was high though.",✅ Trip Verified,,Solo Leisure,Economy Class,Dhaka to Bangkok,August 2019,5.0,4.0,4.0,3.0,yes,5.0,,
"""It was a pleasant experience""",Shaju Rahman,Australia,8th January 2020," Dhaka to Delhi. It was a pleasant experience flying with Biman Bangladesh airline. The ground staff, cabinet crew were really nice. Their customer service skill is very good. Aircraft was clean including toilets.",✅ Trip Verified,Boeing 737-800,Family Leisure,Economy Class,Dhaka to Delhi,January 2020,3.0,5.0,5.0,5.0,yes,4.0,,
""" The staff could be more polite""",Safin Hasan,Qatar,1st January 2020," Doha to Dhaka. The line was quite long in the airport. iOnboard a Boeing 787, everything including food, in flight entertainment, seat comfort was magnificent except the Staff. The staff could be more polite. They often don't respond to calls in flight. I felt the cabin crew can be more welcoming.",✅ Trip Verified,Boeing 787,Solo Leisure,Economy Class,Doha to Dhaka,December 2019,5.0,3.0,3.0,5.0,yes,5.0,5.0,
"""service is extremely poor""",Ssalma Begum,United Kingdom,9th December 2019," London to Sylhet, the service is extremely poor, seat space is very limited. This is not the worst part, when we were returning from Sylhet, we were taken to a hotel with cockroaches in Dacca as it wasn't direct when returning ( I hated this, why do we have to do this unnecessary delays and inconvenience?). According to other passengers, this is normal. We did not sleep. How can they have partnership with a dirty hotel infested with cockroaches, and the food! OMG, what food. For breakfast a boil egg and two slice of bread and no tea. I told them I will skip the breakfast. You are not allowed to come out of the hotel, I felt worst then a prisoner. Inside the plane, dirty toilets, staff don't even bother cleaning.",Not Verified,,Family Leisure,Economy Class,London to Sylhet,November 2019,1.0,1.0,1.0,1.0,no,2.0,1.0,1.0
"""return flight was a nightmare""",I Maslan,United Kingdom,17th July 2019," My husband and I travel every year in BB during winter from Heathrow Airport, London as its the only airline which flies almost direct to Dhaka. We have usually enjoyed out flights due to the service of the young cabin staff. However this time we went again in June 2019 to attend a wedding. The return flight from Dhaka to London was a nightmare on 30 June 2019. I was in seat 2J. The stewardesses were very rude and unhelpful and were busy taking selfies with a rude passenger in the front row (Aisle seat) on our side. He was using his telephone continuously during takeoff and as the cabin staff did not do anything, my husband and I complained to the cabin staff to stop him without success. They appeared to be in awe of that male passenger. The main dishes were spicy and substandard as usual so I requested for sandwiches which was never a problem in previous flights. They ignored my request and so I waited for the cheese, crackers and fruit trolley. They passed us by asking if we wanted any drinks. I was starving in Business Class! My husband requested one of the stewardesses to bring cheese, crackers and fruit for me. She brought thick slices of cheese and some fruit without crackers and practically placed the plates with a bang in front of me. Try eating thick slices of cheese without a knife and crackers!!!! They did not serve any thing else after the so called lunch on a 13 hour flight in Business Class. My husband asked for some food as we were both hungry and we were given some stale cupcakes which we could not eat. Finally they brought some really inedible food before we landed. Thank God we had a real good meal waiting for us at home. This is the service in Bangladesh Biman in Business Class. There is no first class. We only travel in BB as we have no choice. British Airways used to have wonderful direct flight from London to Dhaka but they stopped it for some reason. How we wish they were back! I have the boarding card but unable to upload it now. without help!",✅ Trip Verified,,Business,Business Class,Dhaka to London Heathrow,June 2019,2.0,1.0,3.0,2.0,no,2.0,1.0,1.0
"""It was an awful experience""",Faisal Ahmad,United Kingdom,22nd April 2019," I was travelling from London to Chittagong. I had to wait in Dhaka for our flights to Chittagong. It was an awful experience as our flight was delayed by 8 hours. To make things worse, there were no information about the flight and I could not find any Bangladesh Biman staffs to inquiry about our flight. It was my 14 year old daughters first journey to Bangladesh but unfortunately it was extremely unpleasant at Dhaka airport. We also took a domestic flight to Dhaka from Chittagong and that flight was hour and half late,our flight to Sylhet from Dhaka was an hour late. On our way back, flight from Sylhet was hour late to Dhaka and 30 minutes late to London. In our London flight, our meal wasn’t eatable, salad went off and smelled really bad. I am never gonna fly in Bangladesh Biman again. Bangladesh Biman staff in Chittagong, Dhaka and in Sylhet are always after your money, they want tips even they have just touched your luggage.",Not Verified,,Family Leisure,Economy Class,London to Chittagong via Dhaka,April 2019,2.0,2.0,1.0,2.0,no,,1.0,
"""The space was enough""","40 reviews



Jiaxin Kuang",China,22nd April 2019," Chattogram to Cox's Bazar by BG1433. The boarding was on time. The plane was DHC-8-402Q. I sat in seat 4A. The space was enough. The flight time was only 41minutes, but the staff gave two cakes to every passenger, and the cakes were delicious.",✅ Trip Verified,DHC-8-402Q,Solo Leisure,Economy Class,Chattogram to Cox's Bazar,February 2019,4.0,4.0,3.0,4.0,yes,4.0,,
"""worst airline I've ever flown""",D Leeson,United States,13th December 2018," Yangon to Kathmandu via Dhaka. Easily the worst airline I've ever flown. I've been to 50 countries, flown on dozens of different airlines, and even worked for one myself. It took them two hours to help me at the transfer desk. They were extremely rude, didn't know what they were doing, and spoke very little English. Plane itself was very bare bones and the flight attendants couldn't speak English. In flight meal was the worst I've ever had. Fly another airline if you can. Time for the Bangladeshi government to shut down this failed venture and let the private sector take over. It literally couldn't be any worse.",✅ Trip Verified,,Solo Leisure,Economy Class,Yangon to Kathmandu via Dhaka,December 2018,3.0,3.0,1.0,1.0,no,1.0,1.0,1.0
"""not a good experience""",Shammi Khan,Canada,9th November 2018," London to Dhaka  via Sylhet. Overall, not a good experience. Crew needs intense training on service. Couple of young ones were close to standard but senior staff were not even close from being standard. Food quality was really bad, drinks were okay. Probably will fly with Biman again because of patriotism knowing that service will be below standard. In flight entertainment should be updated frequently, not many interesting choices were available. For transit passengers they had no information available at Heathrow, that was really dumb. It appeared to me as if no one evaluates their performance. Sad.",✅ Trip Verified,Boeing 777-300,Solo Leisure,Economy Class,London to Dhaka  via Sylhet,November 2018,2.0,1.0,1.0,2.0,no,2.0,2.0,
"""world class service""",Salim Chowdhury,Canada,1st November 2018,I am very impressed with the excellent service provided by the ground and flight crews on my Biman Bangladesh Airline flight from Kuala Lumpur to Chittagong via Dhaka. It was just world class service. Very pleased.,✅ Trip Verified,Boeing 787-800,Solo Leisure,Economy Class,Kuala Lumpur to Chittagong via Dhaka,October 2018,4.0,3.0,5.0,4.0,yes,4.0,4.0,
"""happy to use Biman again""","1 reviews



Chowhdury Md Ghalib",United Kingdom,20th June 2018," Dhaka to Rajshahi. Nice meal. Good crew. The boarding was quick. Flight was full. The crew provided food just after boarding and before engine start as it was early morning.  Take off was smooth but the crew need to be more careful about showing safety instructions. Recommend Biman for short haul flights but their lavatory was not up to the mark. It has no tissue, it was clean but no tissue. However, happy to use Biman again.",✅ Trip Verified,Q400,Solo Leisure,Economy Class,Dhaka to Rajshahi,June 2018,4.0,3.0,3.0,4.0,yes,3.0,,
"""seat comfort is close to nothing""",K Amir,United Kingdom,28th March 2018,London to Sylhet. Check-in: There is no online check in system. As a family (with young children) we had pre-booked seats. At the Heathrow counter when I checked in they put three of us in three different seats and said because of some regulation (Front of aeroplane loaded with cargo) they have to put as many passengers towards the rear end and it's not possible to provide the seats together not even reserved ones. They suggested to talk to crew once the flight reaches the cruising altitude. When spoke to crew they didn't want to listen and understand. The crew members were least helpful and don't have any customer service skills. They are walking and eating their food before they serve the passengers. The food quality was poor and fixed menu. They don't have any vegetarian options and difficult to provide any dietary requirements. The seat comfort is close to nothing. The local buses in UK have comfortable seats compared to the Biman seats. 75% of inflight entertainment was broken. Fortunately I took my kids tablets or else the 11 hour flight would have been nightmare. There is no phone charging facility or wifi to purchase. The temperature was getting either too cold or too hot. They don't switch on the aircon before take off. I travelled with Biman after 16 years and I am a frequent flyer in different airlines. But this is probably the first and last time I will travel with them. The price of the tickets doesn't reflect the service they provide. They are not particularly any cheaper than other airlines.,,Boeing 777-300,Family Leisure,Economy Class,London to Sylhet,March 2018,1.0,1.0,2.0,2.0,no,1.0,1.0,1.0
"""Not meeting international standards""",Lucky Mony,Bangladesh,28th January 2018, Bangkok to Dhaka. This is the worst management ever. There is no announcement of delays and the reason said afterward is that because of a VIP. Very unethical and totally violating customer rights on regular basis. Crews are not also well trained. Not meeting international standards.,✅ Trip Verified,,Business,Business Class,Bangkok to Dhaka,January 2018,1.0,1.0,1.0,1.0,no,1.0,,
"""Absolutely abysmal""",Basanth Sadasivan,United Kingdom,18th January 2018," Singapore to London via Dhaka. Absolutely abysmal. Flight was delayed by over 4 hours without any reason or announcement. Missed my connecting flight in Heathrow because of that. The service and food is okay, but the fact that the flight couldn't even leave on time is simply astonishing.",✅ Trip Verified,Boeing 777-300,Solo Leisure,Economy Class,Singapore to London via Dhaka,January 2018,3.0,3.0,1.0,3.0,no,4.0,3.0,1.0
"""There were no announcements""",S Bahl,India,1st November 2017," I reached Dhaka from Delhi at 3 pm and my flight to Chittagong was at 7 pm. I went at 5pm to the counter to check in. The customer services people told me very curtly to come back at 6pm. When I went at 6pm, they said the flight was delayed by one hour. The personnel were busy lazing around, eating something in no uniform. Later when I went back to the counter they said there was a further delay. There were no announcements. This went on and on and finally the flight left at 10pm. I later came to know from others that this a regular situation with Biman Bangladesh airlines. For my return, I promptly cancelled my Biman flight and took a local one. The other private airlines are not listed on the web when we make the booking. So if you are planning to travel, then search for Novoair, US Bangla or Regent airways. Apparently, these are much better. I returned by US Bangla which was quite good.",✅ Verified Review,,Solo Leisure,Economy Class,Dhaka to Chittagong,October 2017,3.0,3.0,1.0,1.0,no,1.0,1.0,
"""Much more needs to be done""",Riaz Osmani,United Kingdom,9th September 2017," Biman charges half of what renowned carriers charge for round trip Business Class fares between London and Dhaka through their hubs. Keeping that in mind and the fact that there is no change of aircraft required for this trip by Biman, you get a decent offering overall. B777-300ER aircraft is my favourite. Business Class cabin with 35 angle flat seats in a 2-3-2 configuration. Large PTVs with AVOD in Bangla, Hindi and English. Bilingual flight tracker provided. Some audio with Indian Classical Music would complete the package which included games for children. Decent headphones, blankets and pillows. Amenity kit consisted of eye shades and socks only. Plenty of food choices. Second service was as substantial as the first. However, presentation of the meal service was awful. FAs needed to remove all plastic and foil wraps from serving dishes, and neatly arrange the meal tray before bringing it to the passengers. Being a dry airline, Biman needed to excel in its soft drinks service. Fruit juices of very poor quality and quantity. I expect larger glasses with bigger servings and refills without having to ask. Orange should taste like freshly squeezed in Business Class. Regular black tea served was of very poor quality. FA should never simply dish out coke and sprite cans to Business Class passengers. Such drinks should be served in glasses (with optional ice) brought from the galley. FAs consisted of two ladies and two gentlemen (one being the purser). The ladies did all the work while the men loitered around the galley. The female FAs thus struggled to perform their duties and then go above and beyond with any personal touches like asking about extra drinks or food. Such personal touches were completely missing. The ladies looked fantastic in their sari uniforms. The men had poor personal grooming with tired looking outfits. Male FAs need to have fresh new South Asian inspired uniforms and training in better grooming and appearance. Lounge access was provided at the beginning of both trips. Mildly scented hot towel and newspaper provided upon taking seats. Juice provided to welcome everyone. The airline caters quite well to a Bangladeshi clientele. Much more needs to be done in terms of beverage service if to attract more international travellers.",✅ Verified Review,Boeing 777-300ER,Solo Leisure,Business Class,London to Dhaka,August 2017,4.0,3.0,3.0,4.0,yes,3.0,4.0,
"""Really enjoyed Biman""",D Graubard,United States,22nd June 2017," Kathmandu to Dhaka Business Class. Figured we would pay the extra to fly Business Class and it was the best decision ever! Check-in by a new agent so it took some time but bags tagged with Biz Class tag and given access to the lounge at KTM airport. Nice food spread and drinks, just no views of the airport. Went through security and it's a mob-scene at the gates. Many flights leaving at the same time (early afternoon) so it was hot and crowded. Boarded by bus to the plane and welcomed by the flight attendants graciously. Excellent service - one of the best flights ever. Row 1 A/B - massive amounts of leg-room on a leased 737-800. FA's apologized as their own 737-800s have in-seat video, but we didn't mind. The service from boarding to deplaning was second to none. We were the only passengers in Business. Take off gave amazing views of Kathmandu, and to our luck the route took us along the Himalays and we had fantastic views of Mt. Everest!  Meal was delicious served on china with plentiful drinks provided. The FA's talked with us about what to see in Dhaka on our short visit there and kept us entertained on the flight. Landed a bit late and bags came out quickly after getting our visa on arrival. Really enjoyed Biman - and would like to fly them long-haul and see how they are in the 777-300 Biz class",✅ Verified Review,Boeing 737-800,Solo Leisure,Business Class,Kathmandu to Dhaka,May 2017,5.0,5.0,3.0,4.0,yes,5.0,1.0,1.0
"""last journey on your airline""",M Jamidun,Bangladesh,5th February 2017," Dhaka to Kuala Lumpur. This was my worst journey ever. My flight was supposed to be at 9:15 am. So I arrived at the airport. First impression came while getting my boarding pass. There was no systematic organisation in the booth, the lines were all haywire and since there was no barricade people were just dodging in between the lines. The flight was then delayed to 2pm. Lets agree to the accept the delay, but by now I have decided never to use this airlines. What provoked me to give this review was that the flight was further delayed to 4pm. Thank you biman Bangladesh. This is the last journey on your airline.",✅ Verified Review,,Solo Leisure,Economy Class,Dhaka to Kuala Lumpur,February 2017,1.0,1.0,1.0,1.0,no,1.0,1.0,
